goos: darwin
goarch: arm64
pkg: github.com/lazygophers/utils/validator
BenchmarkRange_NoSwitch_Int-8                 	14058662	        86.80 ns/op	       0 B/op	       0 allocs/op
BenchmarkRange_DirectMethod_Int-8             	14561508	        82.04 ns/op	       0 B/op	       0 allocs/op
BenchmarkRange_DirectMethod_Int-8             	14490733	        82.17 ns/op	       0 B/op	       0 allocs/op
BenchmarkRange_DirectMethod_Int-8             	14708307	        81.83 ns/op	       0 B/op	       0 allocs/op
BenchmarkRange_CombineCompare_Int-8           	13598317	        87.84 ns/op	       0 B/op	       0 allocs/op
BenchmarkRange_CombineCompare_Int-8           	13889424	        86.38 ns/op	       0 B/op	       0 allocs/op
BenchmarkRange_CombineCompare_Int-8           	13889424	        86.71 ns/op	       0 B/op	       0 allocs/op
BenchmarkRange_LookupTable_Int-8              	 2044501	       590.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkRange_LookupTable_Int-8              	 2043240	       591.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkRange_LookupTable_Int-8              	 2002294	       595.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkRange_Inlined_Int-8                  	  630704	      1899 ns/op	    2400 B/op	     100 allocs/op
BenchmarkRange_Inlined_Int-8                  	  643402	      1901 ns/op	    2400 B/op	     100 allocs/op
BenchmarkRange_Inlined_Int-8                  	  640408	      1901 ns/op	    2400 B/op	     100 allocs/op
BenchmarkRange_Original_Float64_Alloc-8       	 8506596	       141.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkRange_Original_Float64_Alloc-8       	 8514031	       140.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkRange_Original_Float64_Alloc-8       	 8531290	       141.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkRange_CacheKind_Float64_Alloc-8      	 8486472	       140.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkRange_CacheKind_Float64_Alloc-8      	 8521297	       141.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkRange_CacheKind_Float64_Alloc-8      	 8519625	       141.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkRange_FastFail_Float64_Alloc-8       	 8493489	       141.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkRange_FastFail_Float64_Alloc-8       	 8253531	       146.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkRange_FastFail_Float64_Alloc-8       	 8521311	       141.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkRange_DirectMethod_Float64_Alloc-8   	 8468211	       142.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkRange_DirectMethod_Float64_Alloc-8   	 8465886	       141.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkRange_DirectMethod_Float64_Alloc-8   	 8526181	       141.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkRange_LookupTable_Float64_Alloc-8    	 1000000	      1145 ns/op	     800 B/op	     100 allocs/op
BenchmarkRange_LookupTable_Float64_Alloc-8    	  914720	      1161 ns/op	     800 B/op	     100 allocs/op
BenchmarkRange_LookupTable_Float64_Alloc-8    	 1000000	      1150 ns/op	     800 B/op	     100 allocs/op
